Classe,Número,Link Processo,link,REQTE.(S),ADV.(A/S),INTDO.(A/S),PROC.(A/S)(ES),Decisões,Data Andamento,Meio Processo,Indicador de  Processo em Tramitação,Relator Atual,Subgrupo Andamento Comissão,Ramo Direito Novo,Assuntos,Legislação,REQTE.(S)
ADI,2227,ADI-2227,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1826955,,,,,,15/12/2000,Físico,Não,MIN. ELLEN GRACIE,Substituição,PODER EXECUTIVO,"1 - PODER EXECUTIVO | ORGANIZAÇÃO DA PRESIDÊNCIA E DOS MINISTÉRIOS | MP 1.999/00, DEC. 2632/98 - SISTEMA",,
ADI,2228,ADI-2228,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1827519,,,,,,20/6/2000,Eletrônico,Sim,MIN. ROSA WEBER,Normal,DIREITO TRIBUTÁRIO,"1 - DIREITO TRIBUTÁRIO | LIMITAÇÕES AO PODER DE TRIBUTAR | IMUNIDADE  | ENTIDADES SEM FINS LUCRATIVOS2 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS",,
ADI,2228,ADI-2228,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1827519,,,,,,12/5/2003,Eletrônico,Sim,MIN. ROSA WEBER,Redistribuído,DIREITO TRIBUTÁRIO,"1 - DIREITO TRIBUTÁRIO | LIMITAÇÕES AO PODER DE TRIBUTAR | IMUNIDADE  | ENTIDADES SEM FINS LUCRATIVOS2 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS",,
ADI,2228,ADI-2228,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1827519,,,,,,25/6/2003,Eletrônico,Sim,MIN. ROSA WEBER,Substituição,DIREITO TRIBUTÁRIO,"1 - DIREITO TRIBUTÁRIO | LIMITAÇÕES AO PODER DE TRIBUTAR | IMUNIDADE  | ENTIDADES SEM FINS LUCRATIVOS2 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS",,
ADI,2228,ADI-2228,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1827519,,,,,,2/3/2017,Eletrônico,Sim,MIN. ROSA WEBER,Substituição,DIREITO TRIBUTÁRIO,"1 - DIREITO TRIBUTÁRIO | LIMITAÇÕES AO PODER DE TRIBUTAR | IMUNIDADE  | ENTIDADES SEM FINS LUCRATIVOS2 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS",,
ADI,2229,ADI-2229,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1827801,,,,,,20/6/2000,Físico,Não,MIN. CARLOS VELLOSO,Normal,DEFENSORIA PÚBLICA,1 - DEFENSORIA PÚBLICA | DEFENSOR PÚBLICO | CONTRATAÇÃO TEMPORÁRIA - LEI 6094/00 - ES,,
ADI,2229,ADI-2229,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1827801,,,,,,6/12/2001,Físico,Não,MIN. CARLOS VELLOSO,Substituição,DEFENSORIA PÚBLICA,1 - DEFENSORIA PÚBLICA | DEFENSOR PÚBLICO | CONTRATAÇÃO TEMPORÁRIA - LEI 6094/00 - ES,,
ADI,2230,ADI-2230,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1827176,,,,,,16/6/2000,Físico,Não,MIN. CELSO DE MELLO,Normal,DIREITO TRIBUTÁRIO,"1 - DIREITO TRIBUTÁRIO | IMPOSTOS | ICMS/ IMPOSTO SOBRE CIRCULAÇÃO DE MERCADORIAS2 - DIREITO TRIBUTÁRIO | CRÉDITO TRIBUTÁRIO | PRAZO DE RECOLHIMENTO","1 - Lei Estadual nº 7.263,  de 2000, Art. 5º, inciso I - MT2 - Lei Estadual nº 7.263,  de 2000, Art. 7º - MT3 - Lei Estadual nº 7.263,  de 2000, Art. 8º, inciso II - MT4 - Lei Estadual nº 7.263,  de 2000, Art. 10 - MT5 - Lei Estadual nº 7.263,  de 2000, Art. 11 - MT6 - Lei Estadual nº 7.263,  de 2000, Art. 12 - MT7 - Lei Estadual nº 7.263,  de 2000, Art. 13 - MT8 - Lei Estadual nº 7.263,  de 2000, Art. 14 - MT9 - Lei Estadual nº 7.263,  de 2000, Art. 20 - MT",
ADI,2231,ADI-2231,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1828554,,,,,,27/6/2000,Eletrônico,Sim,MIN. DIAS TOFFOLI,Normal,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"1 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | FORMAÇÃO, SUSPENSÃO E EXTINÇÃO DO PROCESSO | EXTINÇÃO DO PR","1 - Lei Federal nº 9.882,  de 1999",
ADI,2232,ADI-2232,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1828678,,,,,,27/6/2000,Físico,Não,MIN. MAURÍCIO CORRÊA,Normal,,,,
ADI,2233,ADI-2233,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1828697,,,,,,27/6/2000,Físico,Não,MIN. SEPÚLVEDA PERTENCE,Normal,,,,
ADI,2234,ADI-2234,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1828755,,,,,,28/6/2000,Físico,Não,MIN. SYDNEY SANCHES,Normal,,,,
ADI,2235,ADI-2235,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1828900,,,,,,28/6/2000,Físico,Não,MIN. CÁRMEN LÚCIA,Normal,CRIME DE RESPONSABILIDADE,1 - CRIME DE RESPONSABILIDADE | DEFINIÇÃO | CE/AP ART. 120 - LEI 462/99 - AP,,
ADI,2235,ADI-2235,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1828900,,,,,,11/4/2002,Físico,Não,MIN. CÁRMEN LÚCIA,Substituição,CRIME DE RESPONSABILIDADE,1 - CRIME DE RESPONSABILIDADE | DEFINIÇÃO | CE/AP ART. 120 - LEI 462/99 - AP,,
ADI,2235,ADI-2235,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1828900,,,,,,24/6/2006,Físico,Não,MIN. CÁRMEN LÚCIA,Substituição,CRIME DE RESPONSABILIDADE,1 - CRIME DE RESPONSABILIDADE | DEFINIÇÃO | CE/AP ART. 120 - LEI 462/99 - AP,,
ADI,2236,ADI-2236,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1828933,,,,,,28/6/2000,Físico,Não,MIN. NELSON JOBIM,Normal,,,,
ADI,2237,ADI-2237,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1829073,,,,,,29/6/2000,Eletrônico,Não,MIN. CÁRMEN LÚCIA,Prevenção Relator,DIREITO PROCESSUAL CIVIL E DO TRABALHO,1 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO | ERRO DE PROCEDIMENTO,"1 - Lei Federal nº 9.958,  de 2000, Art. 625-D2 - Lei Federal nº 9.958,  de 2000, Art. 625-E",
ADI,2237,ADI-2237,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1829073,,,,,,20/5/2009,Eletrônico,Não,MIN. CÁRMEN LÚCIA,Substituição,DIREITO PROCESSUAL CIVIL E DO TRABALHO,1 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO | ERRO DE PROCEDIMENTO,"1 - Lei Federal nº 9.958,  de 2000, Art. 625-D2 - Lei Federal nº 9.958,  de 2000, Art. 625-E",
ADI,2238,ADI-2238,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1829732,,,,,,4/7/2000,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Registro à Presidência,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2238,ADI-2238,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1829732,,,,,,1/8/2000,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Normal,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2238,ADI-2238,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1829732,,,,,,1/3/2006,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2238,ADI-2238,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1829732,,,,,,19/4/2012,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2238,ADI-2238,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1829732,,,,,,29/11/2012,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2238,ADI-2238,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1829732,,,,,,22/3/2017,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2239,ADI-2239,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830060,,,,,,5/7/2000,Físico,Não,MIN. AYRES BRITTO,Registro à Presidência,,,,
ADI,2239,ADI-2239,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830060,,,,,,7/8/2000,Físico,Não,MIN. AYRES BRITTO,Normal,,,,
ADI,2239,ADI-2239,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830060,,,,,,26/6/2003,Físico,Não,MIN. AYRES BRITTO,Substituição,,,,
ADI,2240,ADI-2240,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830215,,,,,,6/7/2000,Físico,Não,MIN. EROS GRAU,Registro à Presidência,MUNICÍPIO,1 - MUNICÍPIO | CRIAÇÃO | LUÍS EDUARDO MAGALHÃES - LEI 7.619/00 - BA,,
ADI,2240,ADI-2240,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830215,,,,,,1/8/2000,Físico,Não,MIN. EROS GRAU,Prevenção Relator,MUNICÍPIO,1 - MUNICÍPIO | CRIAÇÃO | LUÍS EDUARDO MAGALHÃES - LEI 7.619/00 - BA,,
ADI,2240,ADI-2240,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830215,,,,,,9/8/2000,Físico,Não,MIN. EROS GRAU,Redistribuído,MUNICÍPIO,1 - MUNICÍPIO | CRIAÇÃO | LUÍS EDUARDO MAGALHÃES - LEI 7.619/00 - BA,,
ADI,2240,ADI-2240,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830215,,,,,,1/7/2004,Físico,Não,MIN. EROS GRAU,Substituição,MUNICÍPIO,1 - MUNICÍPIO | CRIAÇÃO | LUÍS EDUARDO MAGALHÃES - LEI 7.619/00 - BA,,
ADI,2241,ADI-2241,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830416,,,,,,6/7/2000,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Registro à Presidência,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROC,"1 - Lei Complementar nº 101,  de 2000",
ADI,2241,ADI-2241,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830416,,,,,,1/8/2000,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Normal,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROC,"1 - Lei Complementar nº 101,  de 2000",
ADI,2241,ADI-2241,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830416,,,,,,2/8/2000,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Normal,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROC,"1 - Lei Complementar nº 101,  de 2000",
ADI,2241,ADI-2241,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830416,,,,,,1/3/2006,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROC,"1 - Lei Complementar nº 101,  de 2000",
ADI,2241,ADI-2241,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830416,,,,,,19/4/2012,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROC,"1 - Lei Complementar nº 101,  de 2000",
ADI,2241,ADI-2241,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830416,,,,,,29/11/2012,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROC,"1 - Lei Complementar nº 101,  de 2000",
ADI,2241,ADI-2241,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830416,,,,,,22/3/2017,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROC,"1 - Lei Complementar nº 101,  de 2000",
ADI,2242,ADI-2242,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830298,,,,,,6/7/2000,Físico,Não,MIN. MOREIRA ALVES,Registro à Presidência,,,,
ADI,2242,ADI-2242,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830298,,,,,,1/8/2000,Físico,Não,MIN. MOREIRA ALVES,Normal,,,,
ADI,2243,ADI-2243,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830450,,,,,,7/7/2000,Físico,Não,MIN. MARCO AURÉLIO,Registro à Presidência,,,,
ADI,2243,ADI-2243,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830450,,,,,,2/8/2000,Físico,Não,MIN. MARCO AURÉLIO,Normal,,,,
ADI,2244,ADI-2244,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830597,,,,,,7/7/2000,Físico,Não,MIN. MARCO AURÉLIO,Registro à Presidência,SISTEMA FINANCEIRO NACIONAL,"1 - SISTEMA FINANCEIRO NACIONAL | SUPERINTENDÊNCIA DE SEGUROS PRIVADOS - SUSEP | LEI 9.932/99 ARTS 1º, 2",,
ADI,2244,ADI-2244,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830597,,,,,,1/8/2000,Físico,Não,MIN. MARCO AURÉLIO,Prevenção Relator,SISTEMA FINANCEIRO NACIONAL,"1 - SISTEMA FINANCEIRO NACIONAL | SUPERINTENDÊNCIA DE SEGUROS PRIVADOS - SUSEP | LEI 9.932/99 ARTS 1º, 2",,
ADI,2244,ADI-2244,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830597,,,,,,3/2/2004,Físico,Não,MIN. MARCO AURÉLIO,Substituição,SISTEMA FINANCEIRO NACIONAL,"1 - SISTEMA FINANCEIRO NACIONAL | SUPERINTENDÊNCIA DE SEGUROS PRIVADOS - SUSEP | LEI 9.932/99 ARTS 1º, 2",,
ADI,2245,ADI-2245,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830931,,,,,,10/7/2000,Físico,Não,MIN. SEPÚLVEDA PERTENCE,Registro à Presidência,,,,
ADI,2245,ADI-2245,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1830931,,,,,,1/8/2000,Físico,Não,MIN. SEPÚLVEDA PERTENCE,Prevenção Relator,,,,
ADI,2246,ADI-2246,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1832037,,,,,,14/7/2000,Físico,Não,MIN. NÉRI DA SILVEIRA,Registro à Presidência,,,,
ADI,2246,ADI-2246,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1832037,,,,,,2/8/2000,Físico,Não,MIN. NÉRI DA SILVEIRA,Normal,,,,
ADI,2247,ADI-2247,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1832397,,,,,,17/7/2000,Físico,Não,MIN. ILMAR GALVÃO,Registro à Presidência,,,,
ADI,2247,ADI-2247,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1832397,,,,,,4/8/2000,Físico,Não,MIN. ILMAR GALVÃO,Normal,,,,
ADI,2248,ADI-2248,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1832390,,,,,,17/7/2000,Físico,Não,MIN. CELSO DE MELLO,Registro à Presidência,DIREITO TRIBUTÁRIO,1 - DIREITO TRIBUTÁRIO | PROCEDIMENTOS FISCAIS,"1 - Lei Federal nº 9.532,  de 1997, Art. 63",
ADI,2248,ADI-2248,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1832390,,,,,,10/8/2000,Físico,Não,MIN. CELSO DE MELLO,Normal,DIREITO TRIBUTÁRIO,1 - DIREITO TRIBUTÁRIO | PROCEDIMENTOS FISCAIS,"1 - Lei Federal nº 9.532,  de 1997, Art. 63",
ADI,2249,ADI-2249,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1832779,,,,,,18/7/2000,Físico,Não,MIN. GILMAR MENDES,Registro à Presidência,SERVIDOR PÚBLICO,1 - SERVIDOR PÚBLICO | GRATIFICAÇÃO | CRIAÇÃO - EXTENSÃO - LEI 1.916/98 E LEI 2.153/98 - DF,,
ADI,2249,ADI-2249,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1832779,,,,,,4/8/2000,Físico,Não,MIN. GILMAR MENDES,Normal,SERVIDOR PÚBLICO,1 - SERVIDOR PÚBLICO | GRATIFICAÇÃO | CRIAÇÃO - EXTENSÃO - LEI 1.916/98 E LEI 2.153/98 - DF,,
ADI,2249,ADI-2249,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1832779,,,,,,16/10/2002,Físico,Não,MIN. GILMAR MENDES,Substituição,SERVIDOR PÚBLICO,1 - SERVIDOR PÚBLICO | GRATIFICAÇÃO | CRIAÇÃO - EXTENSÃO - LEI 1.916/98 E LEI 2.153/98 - DF,,
ADI,2250,ADI-2250,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1833269,,,,,,20/7/2000,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Registro à Presidência,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2250,ADI-2250,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1833269,,,,,,4/8/2000,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Normal,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2250,ADI-2250,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1833269,,,,,,15/8/2003,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2250,ADI-2250,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1833269,,,,,,19/4/2012,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2250,ADI-2250,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1833269,,,,,,29/11/2012,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2250,ADI-2250,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1833269,,,,,,22/3/2017,Eletrônico,Sim,MIN. ALEXANDRE DE MORAES,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRA,"1 - Lei Complementar nº 101,  de 2000",
ADI,2251,ADI-2251,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1833422,,,,,,21/7/2000,Físico,Não,MIN. SYDNEY SANCHES,Registro à Presidência,,,,
ADI,2251,ADI-2251,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1833422,,,,,,2/8/2000,Físico,Não,MIN. SYDNEY SANCHES,Normal,,,,
ADI,2252,ADI-2252,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1834084,,,,,,24/7/2000,Físico,Não,MIN. SYDNEY SANCHES,Registro à Presidência,,,,
ADI,2252,ADI-2252,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1834084,,,,,,7/8/2000,Físico,Não,MIN. SYDNEY SANCHES,Prevenção Relator,,,,
ADI,2253,ADI-2253,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1834380,,,,,,25/7/2000,Físico,Não,MIN. MAURÍCIO CORRÊA,Registro à Presidência,MAGISTÉRIO,1 - MAGISTÉRIO | TEMPO DE SERVIÇO | CONTAGEM - DIRETOR E COORDENADOR - REGÊNCIA DE CLASSE - LC 156/99 AR,,
ADI,2253,ADI-2253,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1834380,,,,,,4/8/2000,Físico,Não,MIN. MAURÍCIO CORRÊA,Normal,MAGISTÉRIO,1 - MAGISTÉRIO | TEMPO DE SERVIÇO | CONTAGEM - DIRETOR E COORDENADOR - REGÊNCIA DE CLASSE - LC 156/99 AR,,
ADI,2254,ADI-2254,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1834187,,,,,,25/7/2000,Físico,Não,MIN. DIAS TOFFOLI,Registro à Presidência,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,1 - DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,"1 - Lei Estadual nº 5.643,  de 1998 - ES",
ADI,2254,ADI-2254,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1834187,,,,,,4/8/2000,Físico,Não,MIN. DIAS TOFFOLI,Normal,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,1 - DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,"1 - Lei Estadual nº 5.643,  de 1998 - ES",
ADI,2254,ADI-2254,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1834187,,,,,,10/9/2007,Físico,Não,MIN. DIAS TOFFOLI,Substituição,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,1 - DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,"1 - Lei Estadual nº 5.643,  de 1998 - ES",
ADI,2254,ADI-2254,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1834187,,,,,,23/10/2009,Físico,Não,MIN. DIAS TOFFOLI,Substituição,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,1 - DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,"1 - Lei Estadual nº 5.643,  de 1998 - ES",
ADI,2255,ADI-2255,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1834420,,,,,,25/7/2000,Físico,Não,MIN. GILMAR MENDES,Registro à Presidência,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | RESPONSABILIDADE DA ADMINISTRAÇÃO | IN,,
ADI,2255,ADI-2255,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1834420,,,,,,4/8/2000,Físico,Não,MIN. GILMAR MENDES,Normal,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | RESPONSABILIDADE DA ADMINISTRAÇÃO | IN,,
